names,Dice_coefficient
2023_12_14_image_000,0.849947
2023_12_14_image_001,0.82563806
2023_12_14_image_002,0.8685398
2023_12_14_image_003,0.8606603
2023_12_14_image_004,0.85810393
2023_12_14_image_005,0.8793727
2023_12_14_image_006,0.8800317
2023_12_14_image_007,0.87298024
2023_12_14_image_008,0.88230383
2023_12_14_image_009,0.85660076
2023_12_14_image_010,0.8657093
2023_12_14_image_011,0.85223436
2023_12_14_image_012,0.8756342
2023_12_14_image_013,0.8729963
2023_12_14_image_014,0.8763097
2023_12_14_image_015,0.82504785
2023_12_14_image_016,0.887576
2023_12_14_image_017,0.8669037
2023_12_14_image_018,0.8732656
2023_12_14_image_019,0.8554195
2023_12_14_image_020,0.7186668
2023_12_14_image_021,0.66067636
2023_12_14_image_022,0.64183164
2023_12_14_image_023,0.6953686
2023_12_14_image_024,0.8763021
2023_12_14_image_025,0.86937135
2023_12_14_image_026,0.8538904
2023_12_14_image_027,0.7876619
2023_12_14_image_028,0.8993052
2023_12_14_image_029,0.8808541
2023_12_14_image_030,0.87589735
2023_12_14_image_031,0.88131154
2023_12_14_image_032,0.8676738
2023_12_14_image_033,0.86411846
2023_12_14_image_034,0.86466753
2023_12_14_image_035,0.8869437
2023_12_14_image_036,0.8754996
2023_12_14_image_037,0.8528392
2023_12_14_image_038,0.8796084
2023_12_14_image_039,0.84334075
2023_12_14_image_040,0.8794891
2023_12_14_image_041,0.8616117
2023_12_14_image_042,0.85632837
2023_12_14_image_043,0.8522233
2023_12_14_image_044,0.83945704
2023_12_14_image_045,0.8383861
2023_12_14_image_046,0.8536393
2023_12_14_image_047,0.85681105
2023_12_14_image_048,0.88983244
2023_12_14_image_049,0.89291704
