RGB_R,RGB_G,RGB_B,Lab_L,Lab_A,Lab_B,HSV_H,HSV_S,HSV_V,YCrCb_Y,YCrCb_Cr,YCrCb_Cb,YUV_Y,YUV_U,YUV_V,avg_R,avg_G,avg_B,median_R,median_G,median_B,gauss_R,gauss_G,gauss_B,bilateral_R,bilateral_G,bilateral_B,roberts,sobel,scharr,prewitt,farid,laplace,PIL_sharp_R,PIL_sharp_G,PIL_sharp_B,PIL_contour_R,PIL_contour_G,PIL_contour_B,PIL_emboss_R,PIL_emboss_G,PIL_emboss_B,PIL_edge_R,PIL_edge_G,PIL_edge_B,PIL_detail_R,PIL_detail_G,PIL_detail_B,grey_world_R,grey_world_G,grey_world_B,max_white_R,max_white_G,max_white_B,retinex_R,retinex_G,retinex_B,retinex_with_adjust_R,retinex_with_adjust_G,retinex_with_adjust_B,standard_deviation_weighted_grey_world_R,standard_deviation_weighted_grey_world_G,standard_deviation_weighted_grey_world_B,standard_deviation_and_luminance_weighted_gray_world_R,standard_deviation_and_luminance_weighted_gray_world_G,standard_deviation_and_luminance_weighted_gray_world_B,luminance_weighted_gray_world_R,luminance_weighted_gray_world_G,luminance_weighted_gray_world_B,automatic_color_equalization_R,automatic_color_equalization_G,automatic_color_equalization_B,Non_Local_Means_R,Non_Local_Means_G,Non_Local_Means_B,Total_variation_R,Total_variation_G,Total_variation_B,BM3D_R,BM3D_G,BM3D_B,Lab_equalized_R,Lab_equalized_G,Lab_equalized_B,HSV_equalized_R,HSV_equalized_G,HSV_equalized_B,Lab_CLAHE_R,Lab_CLAHE_G,Lab_CLAHE_B,HSV_CLAHE_R,HSV_CLAHE_G,HSV_CLAHE_B,IE_GHE_R,IE_GHE_G,IE_GHE_B,IE_BBHE_R,IE_BBHE_G,IE_BBHE_B,IE_DSIHE_R,IE_DSIHE_G,IE_DSIHE_B,IE_MMBEBHE_R,IE_MMBEBHE_G,IE_MMBEBHE_B,IE_BPHEME_R,IE_BPHEME_G,IE_BPHEME_B,IE_FHSABP_R,IE_FHSABP_G,IE_FHSABP_B,IE_BHEPL_R,IE_BHEPL_G,IE_BHEPL_B,IE_RLBHE_R,IE_RLBHE_G,IE_RLBHE_B,butterworth_R,butterworth_G,butterworth_B,hessian_R,hessian_G,hessian_B,erosion_R,erosion_G,erosion_B,dilation_R,dilation_G,dilation_B,S_wb_R,S_wb_G,S_wb_B,GW_wb_R,GW_wb_G,GW_wb_B,target
0.948316889,0.905300268,0.777925481,0.917555425,0.496254977,0.569332216,0.088539019,0.179493102,0.948321023,0.903661691,0.533933252,0.431005679,0.903661691,0.440134002,0.54123949,0.94690487,0.904251501,0.77875523,0.949388639,0.906192402,0.779116291,0.948839934,0.905796803,0.77930576,0.948712486,0.905732836,0.779249819,0.013235486,0.008970451,0.009663957,0.008600442,0.002941377,-0.011293747,0.964574709,0.929265032,0.789981195,0.950893054,0.955547689,0.95139725,0.506308262,0.505992196,0.503712489,0.935839293,0.89682573,0.76902006,0.946125712,0.903505057,0.775986279,0.917426759,0.905300268,0.885643419,0.948316889,0.905300268,0.899223157,0.948316889,0.905300268,0.8954941,0.944395319,0.905300268,0.8954941,0.886670541,0.873927725,0.862073266,0.928709039,0.905300268,0.789689946,0.889762731,0.874353848,0.856957606,0.860586826,0.80633147,0.813260706,0.950361031,0.906957879,0.779511725,0.947890781,0.904702522,0.778275683,0.949863318,0.906534258,0.77940427,0.32879607,0.300426808,0.19445166,0.322411404,0.305857438,0.262391955,0.880187371,0.838168082,0.712342805,0.85874297,0.81795389,0.702599015,0.319868292,0.303424502,0.260364224,0.938035464,0.89367481,0.767783906,0.595294195,0.566022216,0.486011979,0.931379479,0.887335386,0.762529117,0.92225214,0.878560105,0.754894895,0.035662234,0.032004803,0.027508382,0.938412212,0.894042438,0.768124415,0.866433972,0.825349746,0.709087658,0.099930195,0.056913587,-0.070461185,1.0,0.956275004,0.895990329,0.919980094,0.881341333,0.757489455,0.974500683,0.92817967,0.801076083,0.906052794,0.835735023,0.7227484,0.805292072,0.790490142,0.777925481,0
0.986315642,0.95278132,0.809177102,0.957211208,0.490350571,0.575357236,0.095575221,0.179995623,0.986315732,0.946411949,0.530364341,0.424472786,0.946411949,0.434409335,0.537614864,0.981503804,0.949580524,0.805798308,0.982712937,0.950020023,0.805953041,0.98217822,0.950082936,0.806137216,0.98194017,0.949919612,0.805960826,0.012108668,0.007291855,0.007994518,0.006918327,0.002067138,0.010462826,0.989778543,0.96375758,0.820996843,0.981018808,0.975787159,0.974636193,0.508463886,0.506787421,0.506506861,0.984052168,0.959005161,0.821020461,0.987888736,0.954079769,0.810599855,0.954943109,0.95278132,0.921523317,0.986315642,0.95278132,0.935166027,0.986315642,0.95278132,0.931332606,0.982394077,0.95278132,0.931332606,0.923570545,0.921279267,0.896603014,0.96670781,0.95278132,0.820941804,0.92749131,0.921408763,0.891585878,0.93618866,0.894727964,0.875629516,0.982975089,0.950717207,0.80661764,0.981188048,0.949272433,0.805524165,0.981899097,0.949910056,0.805849744,0.755703954,0.72581509,0.588705781,0.759126959,0.730994484,0.620387795,0.940838698,0.908072034,0.765584933,0.951865895,0.917301233,0.778550107,0.759106823,0.73086123,0.620372133,0.977474037,0.942080591,0.799391526,0.982415377,0.946904247,0.803383437,0.974550405,0.939263987,0.797423671,0.982150208,0.94663908,0.803118986,0.105320167,0.099910245,0.08428724,0.979498988,0.944103304,0.80141594,0.951100194,0.916414628,0.777735815,0.100933401,0.067399072,-0.07620513,0.982382474,0.958808765,1.0,0.960110141,0.929866628,0.785026515,0.997974529,0.969437689,0.826572323,0.970633314,0.917926876,0.855541987,0.83754018,0.831802274,0.809177102,0
0.924185608,0.890412153,0.769779009,0.90270712,0.4939407,0.565060856,0.093916529,0.166631446,0.924644089,0.886764153,0.52872737,0.435929274,0.886764153,0.444494871,0.535046212,0.938227834,0.902107722,0.780586733,0.941159335,0.904552293,0.781158346,0.937370745,0.901521554,0.779895372,0.938991638,0.902895343,0.780731291,0.01696844,0.011609377,0.0123085,0.01117633,0.004117694,-0.03541949,0.925219657,0.899750803,0.758929269,0.897460378,0.911163871,0.913445689,0.493424001,0.494781912,0.494232462,0.87822039,0.851644694,0.734076334,0.917453608,0.884679817,0.764364557,0.89475449,0.890412153,0.876364637,0.924185608,0.890412153,0.889778351,0.924185608,0.890412153,0.886044677,0.920057954,0.890412153,0.886044677,0.864508302,0.859303912,0.853073725,0.905562536,0.890412153,0.781491786,0.867345858,0.860537445,0.848155805,0.810337387,0.774803442,0.794611425,0.934804117,0.899531025,0.77813895,0.938895566,0.902602816,0.78011637,0.940543142,0.904297499,0.781401572,0.260280694,0.24039862,0.142777193,0.24217267,0.2311807,0.198811798,0.809729718,0.777350559,0.65933165,0.786141754,0.755259437,0.6520373,0.239993395,0.229031859,0.197067519,0.858234772,0.824186426,0.711059003,0.446864668,0.427769889,0.368390623,0.880712586,0.846168388,0.730679081,0.900346242,0.865835118,0.748661725,0.025633266,0.02236667,0.019595936,0.898734938,0.863858948,0.746170523,0.850492865,0.817969491,0.707127153,0.074497397,0.040723951,-0.079909176,0.104934734,0.103078938,0.275242554,0.902738215,0.872656429,0.756495945,0.969954657,0.929184241,0.80400798,0.865372,0.809832267,0.688210345,0.785078257,0.77740316,0.769779009,0
0.969154669,0.934219653,0.792701526,0.941120147,0.491241141,0.574803828,0.094614017,0.182069712,0.969154669,0.928492551,0.530922389,0.425237408,0.928492551,0.435145389,0.538191263,0.977632169,0.943308896,0.801749592,0.97855441,0.943669483,0.801870901,0.977020432,0.94264782,0.801001337,0.977793543,0.943411285,0.801718059,0.014017634,0.007654291,0.008468183,0.007155642,0.002163053,-0.020091715,0.960220489,0.926823166,0.778385987,0.935669405,0.933288865,0.931196569,0.4970851,0.49622852,0.495521072,0.942474565,0.907504687,0.766947359,0.965904564,0.93067351,0.789138316,0.937782118,0.934219653,0.902583344,0.969154669,0.934219653,0.916071595,0.969154669,0.934219653,0.912645644,0.9652331,0.934219653,0.912645644,0.906409571,0.902814461,0.878689269,0.949546831,0.934219653,0.804466234,0.910323349,0.902847478,0.873406597,0.902766976,0.859964343,0.841703508,0.976785689,0.94233012,0.800540641,0.977218506,0.942940207,0.801468159,0.977941364,0.943551036,0.801776919,0.560099152,0.532422988,0.40410374,0.533826384,0.512809954,0.434717278,0.889952414,0.85606392,0.71661429,0.892913901,0.858882582,0.728365644,0.532217846,0.511189538,0.433388077,0.957697133,0.921067132,0.781320031,0.900761119,0.866390718,0.735041723,0.952467506,0.915984785,0.777048633,0.956901388,0.920307749,0.780545809,0.065218758,0.061069411,0.051356192,0.959782382,0.92308857,0.783124822,0.907702412,0.873015957,0.74042528,0.087984094,0.053049086,-0.088469028,0.159209199,0.094976866,0.226657878,0.953852355,0.921668852,0.779055233,0.996454251,0.964324583,0.823584017,0.940932063,0.88607722,0.785673028,0.823516128,0.815770561,0.792701526,0
0.998622664,0.979058178,0.82696393,0.977319035,0.484206614,0.577417519,0.104647054,0.171659424,0.99862298,0.96756548,0.524087211,0.422782101,0.96756548,0.432687479,0.529142521,0.992405055,0.972570739,0.820416138,0.99492464,0.973030734,0.820646714,0.992849697,0.972957555,0.820772884,0.992648036,0.972754527,0.820550614,0.01067107,0.006257734,0.006849532,0.005946006,0.001737365,0.023339139,0.998867325,0.985403032,0.842190631,0.997403957,0.990895389,0.987314586,0.512942842,0.513292966,0.511957879,0.998162869,0.987576504,0.853407968,0.998854389,0.982168258,0.83081274,0.96725015,0.979058178,0.941667017,0.998622664,0.979058178,0.95600717,0.998622664,0.979058178,0.952085709,0.994701138,0.979058178,0.952085709,0.935877614,0.944818218,0.91690461,0.979014852,0.979058178,0.838728632,0.937016193,0.947685637,0.911440824,0.957736537,0.941036484,0.910055694,0.993527815,0.973536333,0.821301452,0.992206175,0.97217036,0.820153178,0.99260356,0.972571359,0.820345369,0.940465767,0.921671514,0.772102216,0.963882334,0.943564919,0.797967774,0.972739275,0.95378163,0.802219188,0.994652312,0.973565897,0.823168217,0.963882334,0.943160866,0.797967774,0.996345403,0.974848207,0.824629579,0.99748387,0.97598668,0.825768051,0.996111777,0.974614582,0.82439627,0.99748387,0.97598668,0.825768051,0.186401006,0.18104016,0.152471936,0.994695881,0.973560546,0.823037106,0.992457795,0.971043135,0.82174334,0.098694948,0.079130465,-0.072963766,0.997640624,0.98225106,1.0,0.975231872,0.953488503,0.800073989,0.999956262,0.989331746,0.840032071,0.990540774,0.963798359,0.930424232,0.849603107,0.855083817,0.82696393,0
0.715114729,0.729749033,0.718822071,0.752020751,0.495443246,0.505337306,0.249067344,0.072138627,0.746340939,0.724151941,0.495532327,0.498983052,0.724151941,0.499549334,0.493928915,0.720117965,0.724764889,0.71672237,0.736881669,0.746366394,0.725278137,0.718593027,0.727246356,0.717971586,0.732374725,0.741038658,0.723524138,0.057882683,0.069502518,0.070304961,0.06861291,0.030756928,-0.00280244,0.677665755,0.74021149,0.733662115,0.90540306,0.922134944,0.949047213,0.491326554,0.496342514,0.500639484,0.70525248,0.730593155,0.719074468,0.713791278,0.729746913,0.718482725,0.692247034,0.729749033,0.818155083,0.715114729,0.729749033,0.830634538,0.715114729,0.729749033,0.827302582,0.707097674,0.729749033,0.827262285,0.668605207,0.704126269,0.796519645,0.700588588,0.729749033,0.728022599,0.670910638,0.705203692,0.791832427,0.379077213,0.4495488,0.68339858,0.715981045,0.730452117,0.719253082,0.729438724,0.741492849,0.722499671,0.724413973,0.738004151,0.723975238,0.091861001,0.105195184,0.097313869,0.086976538,0.088987164,0.086223614,0.524113749,0.538489299,0.527816865,0.495585346,0.505856929,0.496236468,0.085061353,0.087021077,0.084291461,0.373017764,0.380245838,0.369270112,0.160599804,0.163961452,0.159057899,0.414504949,0.422384142,0.410256761,0.794167549,0.811450872,0.800752996,0.005071104,0.006127319,0.005257744,0.480817425,0.490121871,0.477415481,0.578600015,0.589509993,0.573123811,-0.083968342,-0.069334025,-0.080260976,0.287183138,0.357491112,0.53217966,0.561333657,0.579919221,0.654558394,0.852233915,0.84204717,0.768493892,0.513017129,0.531706615,0.472832184,0.606990552,0.636810592,0.718822071,0
0.955967066,0.922045174,0.78712999,0.930329902,0.491832117,0.571620926,0.094410466,0.176558803,0.955977115,0.916838187,0.529870121,0.428649336,0.916838187,0.438179571,0.536798539,0.965417461,0.925316079,0.790422112,0.965991921,0.925642668,0.790453096,0.964913064,0.925354042,0.790329439,0.965633791,0.925526268,0.790463424,0.01309293,0.007928176,0.008698786,0.007506768,0.002286075,-0.015967828,0.950309826,0.930756694,0.787373669,0.925737838,0.954009745,0.951560613,0.495702326,0.500904846,0.500303589,0.924370925,0.909795052,0.77589032,0.951572921,0.920093741,0.785233266,0.924965761,0.922045174,0.89619057,0.955967066,0.922045174,0.909724432,0.955967066,0.922045174,0.906162946,0.952045498,0.922045174,0.906162946,0.893915062,0.890672629,0.872372814,0.936368153,0.922045174,0.798894699,0.897407599,0.890840389,0.867228355,0.877067307,0.838769697,0.831985041,0.96471289,0.925152774,0.790007689,0.964918489,0.92488955,0.79009215,0.965934836,0.925745369,0.790538168,0.450734775,0.426539624,0.308662556,0.403275949,0.387409075,0.330051283,0.885554128,0.852588837,0.719406473,0.862445932,0.830088317,0.70821734,0.401307214,0.385454013,0.32844514,0.943005989,0.907570067,0.774554113,0.720203704,0.693108616,0.591054316,0.939192439,0.903851431,0.771470786,0.935415745,0.900227699,0.768357306,0.046688135,0.042931814,0.036566417,0.945883034,0.910372304,0.777072193,0.882206737,0.849055824,0.724580801,0.090023452,0.05610157,-0.0788136,4.452257736e-08,1.0,0.84361877,0.941065161,0.905286184,0.769461011,0.988205748,0.94604465,0.811879505,0.918763105,0.864885853,0.761933557,0.81214161,0.805107687,0.78712999,0
0.984428399,0.954045274,0.802819829,0.957300761,0.48815789,0.578672579,0.098254313,0.184591826,0.984428399,0.945883805,0.52936599,0.421534248,0.945883805,0.431419481,0.536155886,0.984901604,0.957098713,0.810486177,0.986537659,0.957454791,0.810597191,0.985017613,0.956945236,0.809795948,0.985104481,0.957223326,0.810492006,0.011963935,0.007053709,0.007775689,0.006633008,0.001951123,-0.006227791,0.985109738,0.955218408,0.792877686,0.970113959,0.959882084,0.941481526,0.50472395,0.502203379,0.497138644,0.97481624,0.944039853,0.782621652,0.983812545,0.95306946,0.800146056,0.953055864,0.954045274,0.914132142,0.984428399,0.954045274,0.927848474,0.984428399,0.954045274,0.924234411,0.980506839,0.954045274,0.924234411,0.921683309,0.921811256,0.889807597,0.964820568,0.954045274,0.814584535,0.925135844,0.922672724,0.884619915,0.931209699,0.895491234,0.861061362,0.985273074,0.957093773,0.809918862,0.984575624,0.956690336,0.810145021,0.985126857,0.957202482,0.810407888,0.743920505,0.717701496,0.573948381,0.740806,0.716896647,0.602799526,0.927618674,0.898104779,0.748227842,0.945727266,0.914754099,0.769485643,0.740484339,0.716485062,0.602537256,0.975885042,0.943754555,0.793889863,0.975096567,0.943091248,0.793472449,0.973080831,0.941046924,0.79178587,0.979054766,0.946859895,0.796549204,0.109461728,0.104619022,0.087442937,0.977664326,0.945537163,0.795551187,0.947981679,0.916803415,0.771407575,0.094689645,0.06430652,-0.086918909,0.961995755,0.770134476,4.41677478e-08,0.965144451,0.937161158,0.788395503,0.997884364,0.976150362,0.832005675,0.967091633,0.920321173,0.828638335,0.836551694,0.83306475,0.802819829,0
0.886748491,0.865131685,0.767356707,0.878706982,0.49309456,0.552637057,0.100000382,0.134871026,0.887959818,0.860424147,0.520758215,0.44950824,0.860424147,0.456406932,0.525361109,0.864269296,0.844901236,0.760395523,0.881526006,0.860742222,0.764931417,0.875342892,0.854867774,0.764066774,0.880415185,0.859400277,0.765724163,0.022211066,0.023437725,0.023858567,0.023199492,0.010660494,0.002961315,0.964356964,0.956203283,0.823837761,0.961598168,0.967099204,0.960640175,0.510720163,0.510504473,0.506126303,0.896616023,0.876179678,0.769197404,0.887534837,0.865912008,0.766929841,0.859418722,0.865131685,0.873640713,0.886748491,0.865131685,0.886938585,0.886748491,0.865131685,0.88327675,0.882116614,0.865131685,0.88327675,0.829445709,0.834675723,0.850501273,0.869978498,0.865131685,0.778997579,0.832810549,0.836907532,0.845501632,0.730192134,0.721441432,0.787998963,0.88847317,0.866245895,0.768157175,0.880748927,0.858208805,0.761069717,0.885706963,0.863813194,0.765952963,0.182020571,0.171510102,0.095653455,0.168117784,0.162487257,0.143387582,0.749820305,0.729346683,0.634293233,0.713544089,0.694308896,0.614802458,0.165719974,0.160113913,0.141344738,0.713106318,0.693515785,0.613335164,0.309437675,0.300166014,0.265229876,0.786395014,0.764958136,0.676669747,0.875753949,0.85327927,0.756794659,0.016083024,0.013466889,0.012630102,0.825779722,0.803805689,0.711680792,0.832085559,0.81068934,0.718757151,0.065987821,0.04437102,-0.053403939,0.907563837,0.972067576,0.932232677,0.793436002,0.785820224,0.730345322,0.929905695,0.89931347,0.791655539,0.802114423,0.765928931,0.677958236,0.75327963,0.755324355,0.767356707,0
0.970323014,0.928534897,0.792906912,0.937724396,0.494560066,0.572860909,0.090273128,0.182682159,0.970323113,0.925553084,0.534012743,0.426887135,0.925553084,0.436744993,0.541632604,0.966713505,0.926171242,0.790756994,0.967685273,0.926897558,0.790884343,0.96771281,0.926945674,0.791177612,0.967453142,0.926784027,0.790994194,0.012697482,0.007912493,0.008655773,0.007526568,0.002312779,0.002665345,0.978024963,0.943044901,0.803943807,0.970574097,0.969603623,0.968514546,0.507486122,0.50612515,0.505481645,0.968107858,0.93136729,0.798008111,0.97092198,0.928666721,0.793160913,0.938950464,0.928534897,0.902816303,0.970323014,0.928534897,0.916242905,0.970323014,0.928534897,0.912950222,0.966401447,0.928534897,0.912950222,0.907577916,0.897162355,0.878994522,0.950715175,0.928534897,0.804671621,0.91149948,0.897162554,0.873715759,0.906398871,0.852107214,0.844548399,0.968502185,0.927568556,0.791479805,0.966682024,0.926059705,0.790467425,0.967697383,0.926962427,0.790961946,0.522208281,0.48927116,0.367737921,0.546620582,0.521057968,0.444690126,0.918575844,0.87759726,0.743102149,0.908562907,0.867625579,0.740590357,0.545313995,0.519661107,0.443596576,0.958595493,0.915244491,0.781415985,0.934513646,0.89222547,0.762241178,0.953755438,0.910564995,0.777479503,0.959228255,0.915867219,0.78206476,0.066424101,0.061922951,0.052376063,0.961335531,0.91788422,0.783833428,0.910327688,0.869255067,0.74213465,0.103285095,0.06149699,-0.074130986,1.0,0.962101049,1.0,0.943238971,0.905702875,0.769835689,0.98974563,0.947446949,0.812410274,0.942655411,0.876307271,0.786624352,0.82496193,0.810782974,0.792906912,0
