laplace,butterworth_R,butterworth_G,butterworth_B,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,IE_GHE_R,HSV_equalized_R,IE_GHE_G,target
0.029911567,-0.13174073,-0.107980629,-0.118361238,0.003690888,0.000230681,0.000922722,0.054671285,0.05720877,0.058131491,1
0.075326795,-0.052584664,-0.059324858,-0.105403327,0.003676471,0.005759804,0.002696079,0.080514707,0.081985294,0.078431375,1
0.005283224,-0.35051779,-0.282543913,-0.21457006,0.0,0.0,0.0,0.00130719,0.003431373,0.00130719,1
0.209150315,-0.209934889,-0.165229006,-0.112287817,0.0,0.0,0.002352941,0.032941178,0.034901962,0.035686276,1
0.02896153,0.027453604,0.019871908,-0.077470116,0.00888889,0.011067539,0.007843138,0.134117654,0.138039224,0.131939004,1
0.016709291,-0.113055853,-0.10742926,-0.121922006,0.003069054,0.001193521,0.0,0.056265989,0.058994036,0.058141521,1
-0.098184546,0.024813438,0.0038984,-0.103726907,0.005228759,0.009150328,0.005228759,0.115032687,0.115904147,0.109803931,1
-0.079263215,-0.157271685,-0.128394676,-0.113421406,0.001069519,0.0,0.003565063,0.038502676,0.0399287,0.039572194,1
0.052881755,-0.275410397,-0.221577934,-0.162397894,0.0,0.0,0.0,0.014616757,0.016755794,0.016042782,1
0.007233115,-0.130516675,-0.068381594,-0.0473794,0.0,0.0,0.003921569,0.044008717,0.046361661,0.047930289,1
-0.053708506,-0.02161684,-0.033381533,-0.112324463,0.004944587,0.007502132,0.004262575,0.093606146,0.095822686,0.090707592,1
0.076089395,0.016937261,0.009911119,-0.060840493,0.005228759,0.006862746,0.004084968,0.100817002,0.10228759,0.099183015,1
0.01381886,-0.270391127,-0.252463953,-0.159466736,0.0,0.0,0.0,0.024649862,0.02577031,0.02577031,1
0.045969476,-0.029766356,-0.019962436,-0.063753319,0.003921569,0.00130719,0.0,0.06797386,0.071241835,0.07058824,1
-0.25490195,-0.5738219,-0.62480223,-0.5149983,0.0,0.0,0.0,0.0,0.0,0.0,1
0.12483661,-0.320137232,-0.294647018,-0.178307153,0.0,0.0,0.0,0.012418302,0.014379086,0.013071896,1
