laplace,butterworth_R,butterworth_G,IE_FHSABP_G,IE_FHSABP_R,IE_FHSABP_B,butterworth_B,IE_GHE_R,IE_GHE_G,HSV_equalized_R,HSV_equalized_G,Lab_equalized_R,IE_GHE_B,HSV_equalized_B,IE_DSIHE_R,Lab_equalized_G,IE_DSIHE_G,Lab_A,YCrCb_Cr,IE_DSIHE_B,target
0.021574144,0.091120352,0.052662623,0.051046306,0.054967874,0.043203165,-0.087689969,0.482682514,0.460965595,0.482715468,0.461064458,0.448146351,0.390245547,0.390278501,0.890822273,0.419476058,0.852858842,0.492700638,0.532937906,0.723447048,0
-0.024000783,0.10014725,0.075203699,0.094070126,0.097991691,0.078383841,-0.080256769,0.740915062,0.720522897,0.744812845,0.724420688,0.801212193,0.602495569,0.604729674,0.980368433,0.779108811,0.952751116,0.485442692,0.525727873,0.796078509,0
-0.03605312,0.066806647,0.032250461,0.023529414,0.027450982,0.019607844,-0.109874753,0.277166377,0.264705893,0.281087928,0.268585298,0.274341157,0.222686082,0.226291396,0.515117055,0.254627885,0.494265267,0.490681029,0.530550314,0.41638207,0
-0.05776338,0.059199824,0.025326127,0.023529414,0.027450982,0.019607844,-0.113071266,0.259904298,0.248633641,0.263825856,0.251968519,0.256322387,0.21037519,0.213154253,0.480592903,0.237023331,0.461602627,0.491245973,0.5296897,0.389779258,0
0.003481423,0.068311057,0.047065161,0.19449493,0.20000002,0.163345751,-0.108953683,1.0,0.978153442,1.0,0.978203082,0.950891116,0.822735244,0.822735244,1.0,0.929808924,0.978153442,0.483991094,0.5254902,0.822735244,0
0.006132113,0.067725124,0.0571082,0.008257613,0.011541528,0.007843138,-0.042365721,0.138020094,0.134704295,0.139454815,0.136170899,0.144715454,0.118922375,0.120133916,0.255794687,0.141973546,0.251107937,0.488984562,0.515638483,0.221648352,0
0.018927261,0.082072756,0.041462934,0.050980397,0.054901965,0.043137256,-0.102357878,0.48235297,0.460325629,0.48235297,0.460325629,0.437731639,0.387147004,0.387147004,0.89019614,0.407087637,0.85109738,0.49338913,0.535033294,0.717530156,0
-0.020724393,0.07025646,0.053426396,0.092361121,0.096078439,0.077042487,-0.104130773,0.730392183,0.715277787,0.733333345,0.71821898,0.844158575,0.59791669,0.600204268,0.979411812,0.829003331,0.960866087,0.482475519,0.52352943,0.802246811,0
-0.062914562,0.017551595,0.01929452,0.010094409,0.010167031,0.007843138,-0.063639398,0.116485121,0.116485121,0.118518527,0.118518527,0.124255635,0.103848954,0.105737117,0.21692086,0.128685554,0.217211347,0.487145998,0.507697925,0.19484388,0
0.00841594,0.102266984,0.082879455,0.061907912,0.065521043,0.052963212,-0.067065449,0.55263276,0.539854619,0.553646192,0.540735869,0.668341069,0.454990118,0.455651057,0.966732812,0.651729471,0.945979359,0.484644224,0.523992082,0.796607256,0
